tenor,type,k,price,ivol,w,rel_error
0.019178082191780823,p,-0.029825979515253766,0.0022083704363312557,0.20798441767692538,0.0008295962355475843,8.574455661620882e-09
0.019178082191780823,p,-0.011643660432063345,0.005805877114870881,0.1930591940879819,0.0007148026491871438,-7.221570035897826e-09
0.019178082191780823,p,-0.0026749904493030014,0.00869100623330365,0.1807036221027372,0.0006262372418831286,-1.6450103574398878e-09
0.019178082191780823,c,0.0062139569679430726,0.0073018699910952795,0.18251042962074251,0.0006388230094313316,-1.8590440839855036e-10
0.019178082191780823,c,0.0663178810376485,0.0005342831700801425,0.26521375775337197,0.0013489544140045204,-4.6187905352231456e-09
0.038356164383561646,p,-0.3391472270705159,0.00014247551202137133,0.657467913627625,0.01657999124465225,-3.815909567495002e-09
0.038356164383561646,p,-0.26682656549088973,0.0002315227070347284,0.5587163507938385,0.011973412189099647,5.322533012621132e-09
0.038356164383561646,p,-0.16729697014385664,0.0005699020480854853,0.41821169853210444,0.006708532457664409,-9.31461331676875e-10
0.038356164383561646,p,-0.1568256702765613,0.0006589492430988424,0.4047588765621184,0.0062838807511824525,-4.500191510728071e-09
0.038356164383561646,p,-0.1260540116098076,0.0011041852181656279,0.3684733808040618,0.005207717405634115,1.4494196165862429e-09
0.038356164383561646,p,-0.09620104846012639,0.0016918967052537844,0.3233234643936156,0.004009679114479053,7.838405246511564e-09
0.038356164383561646,p,-0.08644487351476177,0.0022796081923419412,0.31921945810317987,0.003908533901489396,8.283939333109114e-09
0.038356164383561646,p,-0.06721351158687418,0.003544078361531612,0.29933307170867895,0.0034367233683828603,-7.3914200276830175e-09
0.038356164383561646,p,-0.029825979515253766,0.009082813891362422,0.2665236651897428,0.002724624924620377,6.040026692307591e-09
0.038356164383561646,p,-0.011643660432063345,0.014514692787177205,0.2544811964035031,0.002483971261702511,-8.98330091977298e-09
0.038356164383561646,p,-0.0026749904493030014,0.018165627782724843,0.24958043098449684,0.0023892204970567144,-7.398013879060718e-09
0.038356164383561646,c,0.015024586650097902,0.01308993766696349,0.2508125007152556,0.002412867800576881,9.95071574647425e-09
0.038356164383561646,c,0.023758266618852664,0.009759572573463937,0.24619771242141703,0.0023248942203329937,-5.436080458444636e-09
0.038356164383561646,c,0.04100007305335859,0.0056455921638468385,0.2504447638988493,0.00240579758000248,-7.907651400141631e-10
